park;park_shorthand;city;notes;other_species;park_type;palms;pine;decidious;fruit_decidious;fruit_palms;lat;long
Jardins del Princep de Girona;JP;Barcelona;;;;;;;;;41,409656;2,168634
Park Guell;GU;Barcelona;Tree status from memory;rose ringed, mitred ;;1;1;1;1;1;41,414599;2,153145
Jardins del Turo del Putxet;TP;Barcelona;;;;1;1;1;1;1;41,408815;2,142709
Jardins de la Vil-la Cecilia;JC;Barcelona;Tree status from memory;;;1;0;1;1;1;41,392462;2,122586
Jardins de la Vil-la Amelia;JA;Barcelona;Tree status from memory;;;1;0;1;1;1;41,392462;2,122586
Jardins de Josep Trueta;JJ;Barcelona;Tree status from memory;;;0;1;1;1;0;41,404045;2,205415
Jardins de Ghandi;JG;Barcelona;Tree status from memory; ;;0;0;1;1;0;41,404097;2,207511
Parc de Forest;FP;Brussels;;rose ringed;Urban park, lots of grass and trees ;0;1;1;1;0;50,822818;4,337287
Place Guy D'Arezzo;PG;Brussels;Rose ringed only seen flying by, not perched;rose ringed;Small roundabout in urban neighbourhood;0;0;1;1;0;50,815706;4,36061
Avenue Louise;AL;Brussels;;rose ringed;Small circle of grass with a couple of trees, next to busy road;0;0;1;1;0;50,821207;4,370282
Ten Reuken;TR;Brussels;;rose ringed;Large urban park with lake surrounded by concret path;0;1;1;1;0;50,806481;4,428292
Tenenbosch Park;TB;Brussels;;;Small urban park;0;1;1;1;0;50,819885;4,364735
Legnago;LG;Legnago;;rose ringed;Urban Streets;1;1;1;1;1;45,192574;11,309965
Faunistic Park Le Cornelle;BG;Bergamo;Zoo with lots of noise and animals (including captive parrots);;Zoo;1;1;1;1;;45,715635;9,596854
Oasi di Sant' Alessio;SA;Pavia;Zoo with lots of noise and animals (including captive parrots);;Zoo;1;1;1;1;1;45,22008;9,22408
Parque del Clot;PC;Barcelona;;rose ringed;traffic, playgrounds, concrete, very few parrots;1;1;1;1;0;41,408192;2,190493
Parco Natura Viva;PN;Verona;Zoo with lots of noise and animals (including captive parrots);;Zoo;1;1;1;1;;45,479531;10,798685
