file;selected;situation_recording;nr_individuals;park;city;UTM;nest;gain;video
2019_11_04_071322;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_072754;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_073348;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_074308;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_075050;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_080128;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_082524;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_083724;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_084354;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_085014;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_090544;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_091336;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_091638;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_092520;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_103358;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_103402;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_104904;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_111240;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_113534;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_113612;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_114314;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_120900;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_121602;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_122846;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_124218;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_125402;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_04_133416;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_073328;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_075548;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_075944;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_082818;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_083954;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_090136;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_091114;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_091754;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_095222;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_095906;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_100416;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_100658;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_101248;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_101642;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_102440;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_103106;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_103750;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_103852;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_104004;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_163222;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_05_172720;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_10_135420;;;;Jardins del Turo del Putxet;Barcelona;;;;
2019_11_10_114234;;;;Jardins del Turo del Putxet;Barcelona;;;;
2019_11_10_114940;;;;Jardins del Turo del Putxet;Barcelona;;;;
2019_11_10_122154;;;;Jardins del Turo del Putxet;Barcelona;;;;
2019_11_10_133750;;;;Jardins del Turo del Putxet;Barcelona;;;;
2019_11_10_134620;;;;Jardins del Turo del Putxet;Barcelona;;;;
2019_11_10_140118;;;;Jardins del Turo del Putxet;Barcelona;;;;
2019_11_10_140728;;;;Jardins del Turo del Putxet;Barcelona;;;;
2019_11_10_150310;;;;Jardins del Turo del Putxet;Barcelona;;;;
2019_11_10_151650;;;;Jardins del Turo del Putxet;Barcelona;;;;
2019_11_10_152348;;;;;;;;;
2019_11_10_152924;;;;;;;;;
2019_11_10_165850;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_10_170126;;;;;;;;;
2019_11_10_171324;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_11_072948;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_11_073242;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_11_074136;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_11_075450;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_11_081222;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_11_082716;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_11_084334;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_11_085306;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_11_085914;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_11_090412;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_11_091046;;;;Parc de la Ciutadella;Barcelona;;;;
2019_11_11_102514;;;;Parc de la Ciutadella;Barcelona;;;;
