file;selected;situation_recording;nr_individuals_recording;park;city;notes;UTM;nest;gain;video
2019_11_04_0710;;;;;;bad sound;;;;
2019_11_04_0725;;;;;;bad sound;;;;
2019_11_04_0735;;;;;;bad sound;;;;
2019_11_04_0742;;;;;;bad sound;;;;
2019_11_04_0755;;;;;;bad sound;;;;
2019_11_04_0804;;;;;;bad sound;;;;
2019_11_04_0824;;;;;;bad sound;;;;
2019_11_04_0837;;;;;;bad sound;;;;
2019_11_04_0903;;;;;;bad sound;;;;
2019_11_04_0909;;;;;;bad sound;;;;
2019_11_04_0922;;;;;;bad sound;;;;
2019_11_04_1214;;;;;;two nests, lot of wind;;;;
2019_11_04_1221;;;;;;nests, lot's of calls, lot of wind;;;;
2019_11_04_1226;;;;;;nest with I87 and unmarked, lot of calling and wind;I87;;;
2019_11_04_1235;;;;;;feeding in the grass, lot of background calling, some wind;;;;
2019_11_04_1246;;;;;;single bird flew away, very short;;;;
2019_11_04_1244;;;;;;single nest, too windy;;;;
2019_11_04_1309;;;;;;mega nest in palm, quite good noice, vocs;;;;
2019_11_04_1323;;;;;;hmm;;;;
2019_11_04_1331;;;;;;discard;;;;
2019_11_04_1336;;;;;;nest with I49;I49;;;
2019_11_04_1644;;;;;;foraging flock with lots of tags;;;;
2019_11_04_1658;;;;;;foraging flock with lots of tags, good sound!;;;;
2019_11_04_1704_2;;;;;;;;;;
2019_11_04_1704;;;;;;;;;;
2019_11_04_1717;;;;;;;;;;
2019_11_04_1724;;;;;;;;;;
2019_11_04_1728;;;;;;;;;;
2019_11_04_1737;;;;;;;;;;
2019_11_04_1751;;;;;;;;;;
2019_11_04_1751_2;;;;;;;;;;
2019_11_05_065956;;;;;;;;;;
2019_11_05_070936;;;;;;;;;;
2019_11_05_072130;;;;;;;;;;
2019_11_05_072630;;;;;;;;;;
2019_11_05_073148;;;;;;;;;;
2019_11_05_074226;;;;;;;;;;
2019_11_05_075554;;;;;;;;;;
2019_11_05_080202;;;;;;;;;;
2019_11_05_080442;;;;;;;;;;
2019_11_05_081054;;;;;;;;;;
2019_11_05_082046;;;;;;;;;;
2019_11_05_083124;;;;;;;;;;
2019_11_05_083808;;;;;;;;;;
2019_11_05_084644;;;;;;;;;;
2019_11_05_085224;;;;;;;;;;
2019_11_05_085632;;;;;;;;;;
2019_11_05_090332;;;;;;;;;;
2019_11_05_090516;;;;;;;;;;
2019_11_05_091248;;;;;;;;;;
2019_11_05_091910;;;;;;;;;;
2019_11_05_093954;;;;;;;;;;
2019_11_05_094730;;;;;;;;;;
2019_11_05_095048;;;;;;;;;;
2019_11_05_100126;;;;;;;;;;
2019_11_05_100922;;;;;;;;;;
2019_11_05_101758;;;;;;;;;;
2019_11_05_163044;;;;;;;;;;
2019_11_05_164036;;;;;;;;;;
2019_11_05_171034;;;;;;;;;;
2019_11_05_172208;;;;;;;;;;
2019_11_06_072158;;;;;;;;;;
2019_11_06_075206;;;;;;;;;;
2019_11_06_080450;;;;;;;;;;
2019_11_06_082630;;;;;;;;;;
2019_11_06_083242;;;;;;;;;;
2019_11_06_084446;;;;;;;;;;
2019_11_06_085214;;;;;;;;;;
2019_11_06_093858;;;;;;;;;;
2019_11_06_100656;;;;;;;;;;
