Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	272.353467382	272.646790060	0.0	22050.0	0.293	22050.0		
1	Spectrogram 1	1	272.353467382	272.646790060	0.0	22050.0	0.293	22050.0	-46.3	
2	Waveform 1	1	278.708143751	278.934802184	0.0	22050.0	0.227	22050.0		
2	Spectrogram 1	1	278.708143751	278.934802184	0.0	22050.0	0.227	22050.0	-53.1	
3	Waveform 1	1	279.154794192	279.501448266	0.0	22050.0	0.347	22050.0		NA_landing_02
3	Spectrogram 1	1	279.154794192	279.501448266	0.0	22050.0	0.347	22050.0	-45.1	NA_landing_02
4	Waveform 1	1	279.781438095	280.088093622	0.0	22050.0	0.307	22050.0		NA_landing_02
4	Spectrogram 1	1	279.781438095	280.088093622	0.0	22050.0	0.307	22050.0	-45.5	NA_landing_02
5	Waveform 1	1	296.345243142	296.558568726	0.0	22050.0	0.213	22050.0		
5	Spectrogram 1	1	296.345243142	296.558568726	0.0	22050.0	0.213	22050.0	-48.9	
6	Waveform 1	1	402.446257636	402.872908804	0.0	22050.0	0.427	22050.0		
6	Spectrogram 1	1	402.446257636	402.872908804	0.0	22050.0	0.427	22050.0	-42.3	
7	Waveform 1	1	405.554385274	405.827708679	0.0	22050.0	0.273	22050.0		
7	Spectrogram 1	1	405.554385274	405.827708679	0.0	22050.0	0.273	22050.0	-45.1	
8	Waveform 1	1	405.827708679	406.141030630	0.0	22050.0	0.313	22050.0		
8	Spectrogram 1	1	405.827708679	406.141030630	0.0	22050.0	0.313	22050.0	-44.3	
9	Waveform 1	1	407.060997211	407.307654917	0.0	22050.0	0.247	22050.0		
9	Spectrogram 1	1	407.060997211	407.307654917	0.0	22050.0	0.247	22050.0	-44.6	
10	Waveform 1	1	407.400984860	407.714306812	0.0	22050.0	0.313	22050.0		
10	Spectrogram 1	1	407.400984860	407.714306812	0.0	22050.0	0.313	22050.0	-43.2	
11	Waveform 1	1	408.200955800	408.567609147	0.0	22050.0	0.367	22050.0		
11	Spectrogram 1	1	408.200955800	408.567609147	0.0	22050.0	0.367	22050.0	-43.5	
12	Waveform 1	1	409.180920201	409.447577181	0.0	22050.0	0.267	22050.0		
12	Spectrogram 1	1	409.180920201	409.447577181	0.0	22050.0	0.267	22050.0	-42.1	
13	Waveform 1	1	409.647569916	409.907560471	0.0	22050.0	0.260	22050.0		
13	Spectrogram 1	1	409.647569916	409.907560471	0.0	22050.0	0.260	22050.0	-43.6	
14	Waveform 1	1	418.743659113	419.050060921	0.0	22050.0	0.306	22050.0		
14	Spectrogram 1	1	418.743659113	419.050060921	0.0	22050.0	0.306	22050.0	-44.3	
15	Waveform 1	1	419.050060921	419.351748855	0.0	22050.0	0.302	22050.0		
15	Spectrogram 1	1	419.050060921	419.351748855	0.0	22050.0	0.302	22050.0	-39.3	
16	Waveform 1	1	419.351748855	419.686433906	0.0	22050.0	0.335	22050.0		
16	Spectrogram 1	1	419.351748855	419.686433906	0.0	22050.0	0.335	22050.0	-41.8	
17	Waveform 1	1	478.041900425	478.381299351	0.0	22050.0	0.339	22050.0		
17	Spectrogram 1	1	478.041900425	478.381299351	0.0	22050.0	0.339	22050.0	-41.5	
18	Waveform 1	1	478.456721334	478.932822605	0.0	22050.0	0.476	22050.0		
18	Spectrogram 1	1	478.456721334	478.932822605	0.0	22050.0	0.476	22050.0	-44.9	
19	Waveform 1	1	479.592764961	480.017013618	0.0	22050.0	0.424	22050.0		
19	Spectrogram 1	1	479.592764961	480.017013618	0.0	22050.0	0.424	22050.0	-45.7	
20	Waveform 1	1	480.040582988	480.511970385	0.0	22050.0	0.471	22050.0		
20	Spectrogram 1	1	480.040582988	480.511970385	0.0	22050.0	0.471	22050.0	-44.4	
21	Waveform 1	1	480.511970385	480.903221924	0.0	22050.0	0.391	22050.0		
21	Spectrogram 1	1	480.511970385	480.903221924	0.0	22050.0	0.391	22050.0	-43.2	
22	Waveform 1	1	480.968025233	481.349849025	0.0	22050.0	0.382	22050.0		
22	Spectrogram 1	1	480.968025233	481.349849025	0.0	22050.0	0.382	22050.0	-43.7	
23	Waveform 1	1	481.349849025	481.816522548	0.0	22050.0	0.467	22050.0		
23	Spectrogram 1	1	481.349849025	481.816522548	0.0	22050.0	0.467	22050.0	-45.4	
24	Waveform 1	1	481.873089035	482.292623818	0.0	22050.0	0.420	22050.0		
24	Spectrogram 1	1	481.873089035	482.292623818	0.0	22050.0	0.420	22050.0	-48.4	
25	Waveform 1	1	482.283196070	482.702730854	0.0	22050.0	0.420	22050.0		
25	Spectrogram 1	1	482.283196070	482.702730854	0.0	22050.0	0.420	22050.0	-45.5	
26	Waveform 1	1	482.702730854	483.136407259	0.0	22050.0	0.434	22050.0		
26	Spectrogram 1	1	482.702730854	483.136407259	0.0	22050.0	0.434	22050.0	-46.6	
27	Waveform 1	1	483.136407259	483.669075017	0.0	22050.0	0.533	22050.0		
27	Spectrogram 1	1	483.136407259	483.669075017	0.0	22050.0	0.533	22050.0	-48.7	
