Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Waveform 1	1	68.548816434	68.873153712	0.0	22050.0	0.324	22050.0		sqs.01_perched_02
1	Spectrogram 1	1	68.548816434	68.873153712	0.0	22050.0	0.324	22050.0	-51.2	sqs.01_perched_02
2	Waveform 1	1	77.475174750	77.907624454	0.0	22050.0	0.432	22050.0		
2	Spectrogram 1	1	77.475174750	77.907624454	0.0	22050.0	0.432	22050.0	-47.0	
3	Waveform 1	1	78.074707294	78.571041614	0.0	22050.0	0.496	22050.0		
3	Spectrogram 1	1	78.074707294	78.571041614	0.0	22050.0	0.496	22050.0	-48.4	
4	Waveform 1	1	78.698810845	79.219716170	0.0	22050.0	0.521	22050.0		
4	Spectrogram 1	1	78.698810845	79.219716170	0.0	22050.0	0.521	22050.0	-50.2	
5	Waveform 1	1	79.681651082	80.207470608	0.0	22050.0	0.526	22050.0		
5	Spectrogram 1	1	79.681651082	80.207470608	0.0	22050.0	0.526	22050.0	-51.7	
6	Waveform 1	1	81.120505474	81.336730326	0.0	22050.0	0.216	22050.0		
6	Spectrogram 1	1	81.120505474	81.336730326	0.0	22050.0	0.216	22050.0	-48.1	
7	Waveform 1	1	83.051054412	83.699728968	0.0	22050.0	0.649	22050.0		NA_landing_NA
7	Spectrogram 1	1	83.051054412	83.699728968	0.0	22050.0	0.649	22050.0	-50.1	NA_landing_NA
8	Waveform 1	1	83.783270389	83.945439028	0.0	22050.0	0.162	22050.0		NA_landing_NA
8	Spectrogram 1	1	83.783270389	83.945439028	0.0	22050.0	0.162	22050.0	-48.5	NA_landing_NA
9	Waveform 1	1	199.268456862	199.715649170	0.0	22050.0	0.447	22050.0		
9	Spectrogram 1	1	199.268456862	199.715649170	0.0	22050.0	0.447	22050.0	-48.9	
10	Waveform 1	1	207.359584112	207.624950976	0.0	22050.0	0.265	22050.0		
10	Spectrogram 1	1	207.359584112	207.624950976	0.0	22050.0	0.265	22050.0	-35.4	
11	Waveform 1	1	212.041353723	212.183865558	0.0	22050.0	0.143	22050.0		
11	Spectrogram 1	1	212.041353723	212.183865558	0.0	22050.0	0.143	22050.0	-45.2	
12	Waveform 1	1	213.166705795	213.294475026	0.0	22050.0	0.128	22050.0		
12	Spectrogram 1	1	213.166705795	213.294475026	0.0	22050.0	0.128	22050.0	-46.6	
13	Waveform 1	1	214.680279760	214.822791594	0.0	22050.0	0.143	22050.0		
13	Spectrogram 1	1	214.680279760	214.822791594	0.0	22050.0	0.143	22050.0	-44.1	
14	Waveform 1	1	214.911247215	215.048844849	0.0	22050.0	0.138	22050.0		
14	Spectrogram 1	1	214.911247215	215.048844849	0.0	22050.0	0.138	22050.0	-43.2	
15	Waveform 1	1	215.176614079	215.289640707	0.0	22050.0	0.113	22050.0		
15	Spectrogram 1	1	215.176614079	215.289640707	0.0	22050.0	0.113	22050.0	-48.1	
16	Waveform 1	1	228.754799375	228.902225411	0.0	22050.0	0.147	22050.0		
16	Spectrogram 1	1	228.754799375	228.902225411	0.0	22050.0	0.147	22050.0	-47.6	
17	Waveform 1	1	228.907139612	229.103707659	0.0	22050.0	0.197	22050.0		
17	Spectrogram 1	1	228.907139612	229.103707659	0.0	22050.0	0.197	22050.0	-40.3	
18	Waveform 1	1	229.143021269	229.344503517	0.0	22050.0	0.201	22050.0		
18	Spectrogram 1	1	229.143021269	229.344503517	0.0	22050.0	0.201	22050.0	-43.0	
19	Waveform 1	1	229.329760914	229.590213577	0.0	22050.0	0.260	22050.0		
19	Spectrogram 1	1	229.329760914	229.590213577	0.0	22050.0	0.260	22050.0	-40.5	
20	Waveform 1	1	229.590213577	229.747468014	0.0	22050.0	0.157	22050.0		
20	Spectrogram 1	1	229.590213577	229.747468014	0.0	22050.0	0.157	22050.0	-37.9	
21	Waveform 1	1	229.772039020	229.993178074	0.0	22050.0	0.221	22050.0		
21	Spectrogram 1	1	229.772039020	229.993178074	0.0	22050.0	0.221	22050.0	-46.1	
