Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	21.481513062	21.924464067	0.000	22050.000	
1	Spectrogram 1	1	21.481513062	21.924464067	0.000	22050.000	
2	Waveform 1	1	22.086519312	22.572685049	0.000	22050.000	
2	Spectrogram 1	1	22.086519312	22.572685049	0.000	22050.000	
3	Waveform 1	1	27.820307076	28.209239665	0.000	22050.000	
3	Spectrogram 1	1	27.820307076	28.209239665	0.000	22050.000	
4	Waveform 1	1	51.027332888	51.367648904	0.000	22050.000	NA_taking.off_05
4	Spectrogram 1	1	51.027332888	51.367648904	0.000	22050.000	NA_taking.off_05
5	Waveform 1	1	52.426409841	52.593866929	0.000	22050.000	NA_taking.off_05
5	Spectrogram 1	1	52.426409841	52.593866929	0.000	22050.000	NA_taking.off_05
8	Waveform 1	1	129.286226934	129.853420294	0.000	22050.000	sqs.01_perched_NA
8	Spectrogram 1	1	129.286226934	129.853420294	0.000	22050.000	sqs.01_perched_NA
9	Waveform 1	1	131.135602122	131.362479466	0.000	22050.000	NA_taking.off_03
9	Spectrogram 1	1	131.135602122	131.362479466	0.000	22050.000	NA_taking.off_03
10	Waveform 1	1	131.394890515	131.708197323	0.000	22050.000	NA_taking.off_03
10	Spectrogram 1	1	131.394890515	131.708197323	0.000	22050.000	NA_taking.off_03
11	Waveform 1	1	131.729804689	131.940476508	0.000	22050.000	NA_taking.off_03
11	Spectrogram 1	1	131.729804689	131.940476508	0.000	22050.000	NA_taking.off_03
12	Waveform 1	1	131.940476508	132.161952011	0.000	22050.000	NA_taking.off_03
12	Spectrogram 1	1	131.940476508	132.161952011	0.000	22050.000	NA_taking.off_03
13	Waveform 1	1	132.161952011	132.405034879	0.000	22050.000	NA_taking.off_03
13	Spectrogram 1	1	132.161952011	132.405034879	0.000	22050.000	NA_taking.off_03
14	Waveform 1	1	132.405034879	132.696734321	0.000	22050.000	NA_taking.off_03
14	Spectrogram 1	1	132.405034879	132.696734321	0.000	22050.000	NA_taking.off_03
15	Waveform 1	1	132.696734321	133.020844812	0.000	22050.000	NA_taking.off_03
15	Spectrogram 1	1	132.696734321	133.020844812	0.000	22050.000	NA_taking.off_03
